rec,date,time,bar,close,high,low,f1,f2,f3
L,1260805,400,96,74.77,74.82,74.55,L,5,85.9871
L,1260805,400,96,74.77,74.82,74.55,L,6,94.7830
L,1260805,400,96,74.77,74.82,74.55,L,7,87.8600
L,1260805,500,97,75.19,75.36,74.76,L,0,75.0828
L,1260805,500,97,75.19,75.36,74.76,L,1,75.9056
L,1260805,500,97,75.19,75.36,74.76,L,2,73.6978
L,1260805,500,97,75.19,75.36,74.76,L,3,69.7200
L,1260805,500,97,75.19,75.36,74.76,L,4,73.2620
L,1260805,500,97,75.19,75.36,74.76,L,5,86.4167
L,1260805,500,97,75.19,75.36,74.76,L,6,95.3400
L,1260805,500,97,75.19,75.36,74.76,L,7,88.3167
L,1260805,600,98,75.17,75.39,74.98,L,0,75.3504
L,1260805,600,98,75.17,75.39,74.98,L,1,76.1849
L,1260805,600,98,75.17,75.39,74.98,L,2,73.9457
L,1260805,600,98,75.17,75.39,74.98,L,3,69.9110
L,1260805,600,98,75.17,75.39,74.98,L,4,73.5036
L,1260805,600,98,75.17,75.39,74.98,L,5,86.8462
L,1260805,600,98,75.17,75.39,74.98,L,6,95.8970
L,1260805,600,98,75.17,75.39,74.98,L,7,88.7733
L,1260805,700,99,76.16,76.33,75.03,L,0,75.6181
L,1260805,700,99,76.16,76.33,75.03,L,1,76.4643
L,1260805,700,99,76.16,76.33,75.03,L,2,74.1935
L,1260805,700,99,76.16,76.33,75.03,L,3,70.1020
L,1260805,700,99,76.16,76.33,75.03,L,4,73.7452
L,1260805,700,99,76.16,76.33,75.03,L,5,87.2757
L,1260805,700,99,76.16,76.33,75.03,L,6,96.4540
L,1260805,700,99,76.16,76.33,75.03,L,7,89.2300
A,1260805,800,100,74.63,76.14,74.19,U,99,76.3300
L,1260805,800,100,74.63,76.14,74.19,L,0,75.8857
L,1260805,800,100,74.63,76.14,74.19,L,1,76.7437
L,1260805,800,100,74.63,76.14,74.19,L,2,74.4413
L,1260805,800,100,74.63,76.14,74.19,L,3,70.2930
L,1260805,800,100,74.63,76.14,74.19,L,4,73.9868
L,1260805,800,100,74.63,76.14,74.19,L,5,87.7052
L,1260805,800,100,74.63,76.14,74.19,L,6,97.0110
L,1260805,800,100,74.63,76.14,74.19,L,7,89.6867
L,1260805,900,101,73.80,74.95,73.63,L,0,76.1533
L,1260805,900,101,73.80,74.95,73.63,L,1,77.0230
L,1260805,900,101,73.80,74.95,73.63,L,2,74.6891
L,1260805,900,101,73.80,74.95,73.63,L,3,70.4840
L,1260805,900,101,73.80,74.95,73.63,L,4,74.2284
L,1260805,900,101,73.80,74.95,73.63,L,5,88.1348
L,1260805,900,101,73.80,74.95,73.63,L,6,97.5680
L,1260805,900,101,73.80,74.95,73.63,L,7,90.1433
L,1260805,1000,102,74.35,74.57,73.53,L,0,76.4209
L,1260805,1000,102,74.35,74.57,73.53,L,1,77.3024
L,1260805,1000,102,74.35,74.57,73.53,L,2,74.9370
L,1260805,1000,102,74.35,74.57,73.53,L,3,70.6750
L,1260805,1000,102,74.35,74.57,73.53,L,4,74.4700
