name,group,land,tiland,prefw,preti,pre_last,pre_met_frac,post_n,post_met,post_last,post_boots,wd
?,The Oaks MHC,09/17 04:47,09/17 04:50,16131,296,Metering,1.0,2,1,Metering,0,0
?,The Oaks MHC,09/17 04:08,09/17 04:11,16131,296,Metering,1.0,2,1,Metering,0,0
?,Parkwood,09/15 07:54,09/12 08:00,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,The Oaks MHC,09/17 05:29,09/17 05:31,16131,296,Metering,1.0,2,1,Metering,0,0
?,Carolina Springs MHP,09/15 10:04,09/12 09:17,17078,391,Calibrating,0.0,6,0,Failed Cal,0,0
?,The Oaks MHC,09/17 05:44,09/17 05:47,16131,296,Metering,1.0,2,1,Metering,0,0
?,Holly Tree MHP,09/16 09:32,09/16 09:34,16185,314,Metering,1.0,4,3,Metering,0,0
?,Rustic Acres MHC,09/17 07:44,09/17 07:46,17037,344,Metering,1.0,2,1,Metering,0,0
?,Smitty's MHP,09/16 10:11,09/16 10:14,17037,344,Metering,1.0,4,3,Metering,0,0
?,Crystal Acres MHC,09/15 06:46,09/15 06:49,17032,344,Metering,1.0,6,1,Calibrating,0,69
