id,group,groups,class,last_post,age_d,posts_24h,boots_24h,fwVer,fwVerTi,tiUartVer,bBootCount,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,VddAdc,deviceState,failedCal,tiError,tiRecoveryExhausted,tiParked,sfProbeHeld,radioOveruseCnt,meterVal,tiBootCnt
00d21160-cf7e-11ee-b85d-dba39f676200,All,2,stale,08/26 04:42,18.2,0,,10706,,,59,4,,,,,Standby,,,,,,1,20032,
00d76bb0-dabc-11f0-b691-d965a62fa4fa,All,2,stale,12/16 12:28,270.9,0,,10300,159,,9,4,,,,,Not Metering,,,,,,1,0,
00dc2680-3d93-11f0-8e55-b138a1c03c8e,Sara Drive MHP,2,ok,09/13 07:50,0.1,2,0,362,209,,25,6,,0,,3641,Metering,,00000000 00000000 00000000 00000000 00000400 00000000 00000000 00000000,,,,2,34498.711,
00eef110-03e8-11ef-b5d9-bf75c1762495,Highland Terrace,2,ti_dead,09/10 05:19,3.2,0,0,10706,,,33,20,,,,,Metering,,,,,,1,60555,
00f63e10-a70b-11ed-8426-5912eec2be3c,All,2,stale,05/31 02:52,1201.3,0,,10561,,,31,,,,,,Installing,,,,,,,27680,
0103ede0-529a-11ee-9d1c-a706a1c099d4,Oakwood MHP,2,ti_dead,09/13 03:48,0.3,1,0,10671,,,20,6,,,,,Metering,,,,,,1,113424,
01063160-8535-11f1-a1a6-391af391818e,All,2,failed_cal,09/13 09:04,0.0,4,0,17037,344,344,17,6,0,0,7,3683,Failed Cal,true,00000000 00000000 00000000 00004000 00000000 00000000 00000000 00000000,0,,,1,0,28
01131750-dacb-11f0-b691-d965a62fa4fa,All,2,stale,12/16 14:13,270.8,0,,10300,159,,12,4,,,,,Not Metering,,,,,,1,0,
0114de80-8ab3-11f1-a1a6-391af391818e,All,2,failed_cal,09/13 09:20,0.0,1,0,17037,344,344,24,6,0,0,24,3679,Failed Cal,true,00000000 00000000 00000000 0000E000 00000000 00000000 00000000 00000000,0,,,1,0,11
013905d0-04b5-11ee-b15d-e3ac404013cb,Roosevelt MHC,2,ti_dead,09/12 11:55,0.9,1,0,10671,,,61,20,,,,,Metering,,,,,,2,21750,
013e5670-d4bf-11f0-b691-d965a62fa4fa,All,2,stale,12/08 21:30,278.5,0,,10300,159,,11,4,,,,,Not Metering,,,,,,1,0,
014a84c0-678b-11ee-b77b-c10d9e19b72d,All,2,stale,12/17 10:31,269.9,0,,10693,,,59,4,,,,,Standby,,,,,,1,7526,
014ce770-549a-11f1-b1bb-f3574cce671d,All,2,stale,05/27 12:53,108.9,0,,16022,260,,9,4,,0,,3653,Not Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,0,0,
014e4190-0c0d-11f1-a3d9-c99c67c82bc1,Roosevelt MHC,2,ok,09/13 04:30,0.2,1,0,16131,296,,20,6,0,0,,3693,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,555.049,
