serial,property,apartment,fwVerTi,gain,up_ppk,tnormStddev,flag
65825799,The Oaks MHC,34,296,55,1132,573,NOISY-COMMIT
75374494,Highlands MHC,9A,344,44,2249,572,NOISY-COMMIT
70271661,Rusk MHC,24,344,41,466,571,NOISY-COMMIT
65822721,Ponderosa MHC,49,344,26,762,567,NOISY-COMMIT
72380452,Sunnyvale MHP,133,296,40,2176,564,NOISY-COMMIT
77028902,Eastwood Hills MHC,TR307,314,50,644,555,NOISY-COMMIT
72717319,Kay Bee Mobile Villa MHP,48,296,30,570,552,NOISY-COMMIT
72382433,Virginia Beach,183,344,38,1636,551,NOISY-COMMIT
75371532,Cactus Flower,4-BACK-UP HWA,314,55,390,546,NOISY-COMMIT
77060202,Canada,C4TC,344,44,682,540,NOISY-COMMIT
79466262,Grand Valley Estates MHC,14-AMOS,344,29,1283,514,NOISY-COMMIT
72382896,Ponderosa MHC,46,344,41,638,514,NOISY-COMMIT
79462733,Holly Tree MHP,83,314,40,2281,509,NOISY-COMMIT
