serial,property,fwVer,fwVerTi,ageDays,dropouts120d,qual0frac30d,qualN,hardResets,tier
65830344,Eastwood Hills MHC,362,209,564,0,0.00,61,0,OK
65830377,Green Grove Trailer Court MHC,16131,296,584,0,0.00,28,0,OK
65830385,Alta Vista MHC,16131,296,620,1,0.00,34,0,MED
65830393,PW2,16185,314,591,1,0.60,57,52,HIGH
65830401,Oaklawn Park HOA,15090,254,527,0,0.00,30,0,OK
65830427,The Oaks MHC,16131,296,569,0,0.00,33,0,OK
65830443,Parkway MHC,16022,260,558,0,0.00,30,0,OK
65830484,Estancia MHP,15147,256,564,0,0.00,30,0,OK
65830500,Forest at Sherman MHC,16185,314,569,1,0.00,58,2,MED
65830526,176 N Highland Ave,16022,260,481,0,0.00,29,0,OK
65830534,Maple Run MHC,362,209,557,0,0.00,60,0,OK
65830567,Estancia MHP,16185,314,562,1,0.00,59,2,MED
65830583,PW2,16185,314,561,1,0.00,60,2,MED
65830617,Sara Drive MHP,362,209,527,0,0.00,55,0,OK
65830666,Estancia MHP,16185,314,564,1,0.00,73,2,MED
65830708,Oaklawn Park HOA,15090,254,526,0,0.00,30,0,OK
65830732,Aurora MHC,16131,296,601,0,0.00,30,0,OK
65830740,Parkview MHP,17037,344,614,1,0.01,175,0,MED
65830757,Estancia MHP,16022,260,564,0,0.00,30,0,OK
65830781,Eastwood Hills MHC,16185,314,563,1,0.03,70,2,MED
65830799,Lafountaine MHC,16131,296,564,0,0.00,30,0,OK
65830815,Parkway MHC,16022,260,562,0,0.00,30,0,OK
65830831,W Poplar St Triplex,362,209,601,0,0.00,44,0,OK
65830856,Alta Vista MHC,16185,314,599,1,0.00,60,2,MED
65830864,Parker MHC,16022,260,601,0,0.00,29,0,OK
65830872,Suncrest Dr MF,362,209,599,0,0.00,60,0,OK
65830906,Oakwood MHP,16022,260,601,0,0.00,30,0,OK
65830930,Lakeview MHC,16185,314,579,1,0.00,59,2,MED
65830971,Alta Vista MHC,363,219,619,0,0.00,60,0,OK
65830997,Westview Mobile Estates MHC,362,209,619,0,0.00,58,0,OK
65831011,Parkway MHC,16022,260,614,0,0.00,30,0,OK
65831045,Kingsbrook MHC,16131,296,602,0,0.00,30,0,OK
65831078,PW2,17037,344,527,1,0.02,62,0,MED
65831094,Parkway MHC,16022,260,527,0,0.00,28,0,OK
65831185,Oaklawn Park HOA,15090,254,614,0,0.00,57,0,OK
65831219,Parker MHC,16185,314,602,1,0.00,59,2,MED
65831235,Parkview MHP,16130,296,590,0,0.00,31,0,OK
65831250,Parkview MHP,16185,314,613,1,0.00,60,2,MED
65831276,PW2,16022,260,599,0,0.00,30,0,OK
65831292,Aurora MHC,16131,296,613,0,0.00,30,0,OK
65831318,Opekiska St Duplex,362,209,602,0,1.00,61,0,HIGH
65831326,Parkway MHC,16022,260,579,0,0.00,30,0,OK
65831334,PW2,16022,260,619,0,0.00,30,0,OK
65831342,Alta Vista MHC,16131,296,601,0,0.00,30,0,OK
65831375,Forest at Sherman MHC,362,209,619,0,0.00,60,0,OK
65831383,Forest at Sherman MHC,17037,344,619,1,0.02,62,0,MED
65831391,Forest at Sherman MHC,362,209,599,0,0.00,61,0,OK
65831409,La Comunidad MHC,17037,344,591,1,0.01,141,0,MED
65831417,Sara Drive MHP,362,209,620,0,0.00,55,0,OK
65831474,The Oaks MHC,16131,296,601,0,0.00,33,0,OK
