group,lever,serial,id,apt,tier,reported,draws,pos,neg,waterFlowDir_to_write
Coleman Village MHC-CUST,15154/260,70267594,ca38cb70-6672-11f0-8658-7f4e94e41769,130,PIN,FLIPPED,FLIPPED,0,5849,2
Coleman Village MHC-CUST,15154/260,72718937,9852ba10-c4f7-11f0-9842-6d029661c338,132,PIN,NOT FLIPPED,NOT FLIPPED,232,0,1
Coleman Village MHC-CUST,15154/260,70265259,8ee41280-666f-11f0-8658-7f4e94e41769,133,PIN,FLIPPED,FLIPPED,30,5453,2
Coleman Village MHC-CUST,15154/260,72382136,95acbf10-9fa2-11f0-b5af-5dfa9891b485,135,PIN,FLIPPED,FLIPPED,0,2951,2
Coleman Village MHC-CUST,15154/260,70266323,67dbd9b0-667a-11f0-8658-7f4e94e41769,140,PIN,FLIPPED,FLIPPED,0,5586,2
Coleman Village MHC-CUST,15154/260,70273154,931252e0-666f-11f0-8658-7f4e94e41769,141,PIN,FLIPPED,FLIPPED,0,5516,2
Coleman Village MHC-CUST,15154/260,75360428,ab74ebd0-01de-11f1-af1d-29d4205d602a,144,PIN,FLIPPED,FLIPPED,0,206,2
Coleman Village MHC-CUST,15154/260,72379132,99b61250-9fa2-11f0-b5af-5dfa9891b485,146,PIN,FLIPPED,FLIPPED,2,1973,2
Coleman Village MHC-CUST,15154/260,77028456,f3d1ae10-3d92-11f0-8e55-b138a1c03c8e,147,PIN,FLIPPED,FLIPPED,0,5607,2
Coleman Village MHC-CUST,15154/260,70272099,a63eb800-66b4-11f0-8658-7f4e94e41769,148,PIN,FLIPPED,FLIPPED,0,5741,2
Coleman Village MHC-CUST,15154/260,70263643,c0c842a0-6672-11f0-8658-7f4e94e41769,149,PIN,NOT FLIPPED,NOT FLIPPED,5665,0,1
Coleman Village MHC-CUST,15154/260,70269855,14e99880-6677-11f0-8658-7f4e94e41769,151,PIN,NOT FLIPPED,NOT FLIPPED,5668,0,1
Coleman Village MHC-CUST,15154/260,70270119,93ca7f50-666f-11f0-8658-7f4e94e41769,152,PIN,FLIPPED,FLIPPED,0,5530,2
