group,device,fwVer,sessions,completed,hung_est,days_with_records_of_7,rsrp_med
Oak Forest Estate MHC,Device 70263767,17037,7,6,0,7,-107.0
Oak Forest Estate MHC,Device 70264880,17037,7,6,0,6,-106.0
Oak Forest Estate MHC,Device 77061747,,0,0,0,,
Oak Forest Estate MHC,Device 77056523,17037,7,6,0,7,-108.0
Oak Forest Estate MHC,Device 77054528,17037,7,6,0,7,-104.0
Oak Forest Estate MHC,Device 77054122,17037,7,6,0,3,-116.0
Oak Forest Estate MHC,Device 77058487,17037,6,6,0,6,-118.0
Oak Forest Estate MHC,Device 77053827,17037,7,6,0,4,-113.0
Oak Forest Estate MHC,Device 77058370,17037,19,24,0,0,-120.0
Oak Forest Estate MHC,Device 65829718,17037,2,3,0,0,-127.0
Oak Forest Estate MHC,Device 77058511,17037,8,9,0,2,-102.0
Oak Forest Estate MHC,Device 77054056,17037,7,6,0,4,-108.0
Oak Forest Estate MHC,Device 77060897,17037,7,6,0,7,-105.0
Oak Forest Estate MHC,Device 77061572,17037,7,8,0,0,-120.0
Oak Forest Estate MHC,Device 65824800,17037,7,6,0,7,-111.0
Oak Forest Estate MHC,Device 65828918,17037,7,6,0,3,-106.0
Oak Forest Estate MHC,Device 68593092,,0,0,0,,
Paola MHC,Device 79464382,17037,6,6,0,0,-119.0
Paola MHC,Device 79458517,16185,7,6,0,6,-119.0
Paola MHC,Device 79463129,16185,7,6,0,7,-118.0
Paola MHC,Device 79463475,16185,7,6,0,7,-116.0
Paola MHC,Device 79466353,17037,6,5,0,7,-115.0
Paola MHC,Device 79462246,16185,7,6,0,7,-110.0
Paola MHC,Device 79461578,17037,7,6,0,7,-119.0
Paola MHC,Device 79463418,17037,6,5,0,0,-125.0
Paola MHC,Device 79461552,17037,7,6,0,0,-99.0
